Review Title,Aircraft,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food Beverages,Inflight Entertainment,Ground Service,Value For Money
"""stands out in many areas""",A321neo,Solo Leisure,Economy Class,London-Heathrow to Warsaw,March 2020,5,5,No rating,No rating,4,3
"""laptop was left inside the flight""",No Aircraft,Business,Economy Class,Johannesburg to London,March 2020,2,3,2,1,1,2
"""worst sort of management bureaucracy""",No Aircraft,Business,Economy Class,London to Stockholm,April 2020,No rating,No rating,No rating,No rating,1,1
"""poor customer service""",No Aircraft,Solo Leisure,Economy Class,London to Budapest,March 2020,No rating,No rating,No rating,No rating,No rating,1
"""lies and lack of informatio""",Boeing 747,Solo Leisure,Business Class,Nashville to London via Chicago,March 2020,3,5,4,No rating,3,1
"""understand the turmoil caused by Covid-19""",No Aircraft,Solo Leisure,Economy Class,Vancouver to London,March 2020,No rating,No rating,No rating,No rating,1,1
"""A voucher is not sufficient""",No Aircraft,Family Leisure,Economy Class,London to Marrakesh,August 2019,No rating,No rating,No rating,No rating,No rating,1
"""use the travel credit by May 2020""",Boeing 777,Couple Leisure,Economy Class,Seattle to Heathrow,March 2020,No rating,No rating,No rating,No rating,No rating,5
"""thank our crew in particular""",No Aircraft,Couple Leisure,Premium Economy,Mumbai to London Heathrow,March 2020,5,5,4,2,5,5
"""such deceitful practices""",No Aircraft,Business,Economy Class,London to Valencia,March 2020,No rating,No rating,No rating,No rating,No rating,1
"""not surprised they are in trouble""",No Aircraft,Couple Leisure,Economy Class,London Gatwick to Funchal,March 2020,1,4,No rating,No rating,1,1
"""narrow business class facing seats""",Boeing 747-400,Business,Business Class,Chicago to London Heathrow,March 2020,1,1,1,1,1,1
"""airline needs major overhaul""",Boeing 747-400,Business,Business Class,London to New York JFK,February 2020,1,1,1,1,1,1
"""still forcing people to fly to Madrid""",No Aircraft,Solo Leisure,Economy Class,London to Madrid,March 2020,No rating,No rating,No rating,No rating,No rating,1
"""unfriendly and inconsiderate to me""",No Aircraft,Business,Economy Class,Frankfurt to Buenos Aires via London,October 2019,2,3,3,2,1,1
"""live in a conceited bubble""",No Aircraft,Business,Business Class,London to Paris CDG,March 2020,No rating,No rating,No rating,No rating,No rating,1
"""rude staff and service""",No Aircraft,Couple Leisure,Economy Class,London City to Berlin,March 2020,No rating,No rating,No rating,No rating,1,1
"""BA has really upped their game""",Boeing 787,Solo Leisure,Economy Class,London to Beijing,January 2020,3,5,4,5,4,4
"""friendly and helpful""",A380,Family Leisure,Economy Class,Hong Kong to London,January 2020,5,5,5,3,5,5
"""Very happy with the service""",Boeing 777-200,Couple Leisure,Economy Class,Mumbai to London,March 2020,4,5,5,4,5,5
"""positive, friendly attitude""",Boeing 777-200,Couple Leisure,Economy Class,London to Delhi,February 2020,4,5,5,4,2,4
"""flights to Italy for March, all cancelled""",A319,Business,Business Class,Paris to London,February 2020,1,4,No rating,No rating,1,1
"""never use British Airways again""",No Aircraft,Solo Leisure,Economy Class,Singapore to London,February 2020,3,3,3,3,1,1
"""Food and drinks are expensive""",No Aircraft,Solo Leisure,Economy Class,Gatwick to Malaga,February 2020,2,3,1,No rating,3,3
"""the crew were outstanding""",Boeing 747-400,Solo Leisure,Premium Economy,Vancouver to London,February 2020,4,5,5,5,4,5
British Airways customer review,Boeing 787,Business,Business Class,London to Seattle,February 2020,No rating,No rating,No rating,No rating,No rating,1
"""food is the standout problem""",Boeing 777,Solo Leisure,First Class,London Heathrow to Nairobi,February 2020,3,5,1,3,2,3
"""came to me to give me his pillow""",No Aircraft,Couple Leisure,Premium Economy,Dubai to London,February 2020,1,1,1,No rating,1,1
"""service that needs training""",No Aircraft,Couple Leisure,Business Class,London to Cape Town,February 2020,4,2,1,3,3,3
"""packed out seating""",Boeing 787,Solo Leisure,Economy Class,Rio de Janeiro to London,February 2020,1,3,1,1,1,2
"""require a transit visa""",No Aircraft,Solo Leisure,Economy Class,Johannesburg to Dublin via London,February 2020,1,1,No rating,No rating,1,1
"""backward facing seats""",Boeing 747-400,Couple Leisure,Business Class,Las Vegas to Paris via London,February 2020,1,4,3,1,4,1
"""I want a refund""",A320,Couple Leisure,Economy Class,Geneva to Gatwick,January 2020,No rating,No rating,No rating,No rating,1,1
"""crew was amazingly kind and lovely""",No Aircraft,Solo Leisure,Economy Class,Mexico City to Manchester via London,January 2020,5,5,4,5,5,4
"""a good experience with no major complaints""",A321,Solo Leisure,Business Class,London Heathrow to Sofia,October 2019,4,4,4,No rating,5,4
"""Arriving late to board""",No Aircraft,Solo Leisure,Economy Class,Manchester to Melbourne via London / Singapore,July 2019,2,3,2,No rating,1,1
"""a pathetic premium cabin""",A321neo,Business,Business Class,Madrid to London,January 2020,2,3,2,1,3,2
"""fly this airline again""",A320,Family Leisure,Economy Class,Prague to London,January 2020,5,5,No rating,No rating,3,5
"""breakfast become rather perfunctory""",A380-800,Couple Leisure,Business Class,Johannesburg to London,January 2020,3,4,3,3,3,3
"""very disappointing service""",Boeing 777-200,Business,Business Class,Las Vegas to Gatwick,January 2020,2,2,2,4,4,1
"""roller coaster of incompetence""",Boeing 747-400,Business,Business Class,San Diego to Stockholm via London,January 2020,5,5,5,3,1,3
"""SLOW lounge continues to impress""",A320,Couple Leisure,Business Class,Cape Town to Johannesburg,January 2020,4,4,3,No rating,4,4
"""thank you for your service and kindness""",No Aircraft,Solo Leisure,Economy Class,New York to London Heathrow via Copenhagen,December 2019,5,5,5,5,5,5
"""more than acceptable service""",Boeing 787-9,Business,Business Class,Phoenix to London,January 2020,3,5,4,4,3,5
"""only saving grace was a superb cabin staff""",Boeing 777-200,Solo Leisure,Economy Class,London Heathrow to Bangkok,January 2020,2,4,4,1,4,2
"""the service was good""",Boeing 777-200ER,Solo Leisure,Economy Class,Mumbai to Boston via London,January 2020,2,5,5,2,1,3
"""refund for seat assignments""",No Aircraft,Family Leisure,Economy Class,"Orlando, Florida to Accra, Ghana",December 2019,1,1,1,1,1,1
"""still consider other airlines""",Boeing 787 / A320,Solo Leisure,Economy Class,Toronto to Geneva via London,January 2020,4,5,4,3,4,3
"""sleeping was quite impossible""",Boeing 777-300,Solo Leisure,First Class,Hong Kong to London,January 2020,4,5,5,4,4,4
"""Layout of Boeing 787 cabin is poor""",Boeing 787,Business,Economy Class,San Jose to Amsterdam via London,January 2020,1,1,2,3,2,3
"""luggage was not loaded""",Boeing 777,Couple Leisure,Business Class,Singapore to Paris via London,January 2020,3,4,4,4,1,2
"""Everything went like clockwork""",A321neo,Solo Leisure,Economy Class,Warsaw to London,January 2020,5,5,5,No rating,4,5
"""I would recommend BA""",Boeing 747-400,Family Leisure,Economy Class,New York  to London Heathrow,January 2020,4,5,3,4,5,4
"""never fly BA again""",No Aircraft,Family Leisure,Economy Class,London to Los Angeles,December 2019,2,1,2,No rating,1,3
"""need to move with the times""",Boeing 737-800,Couple Leisure,Business Class,Johannesburg to Cape Town,January 2020,3,3,3,No rating,4,4
"""offer a kids free zone""",No Aircraft,Business,Business Class,London to Bangkok,January 2020,2,1,1,No rating,2,2
"""Overall a good flight""",A380,Couple Leisure,Business Class,London to Johannesburg,January 2020,4,4,4,3,4,4
"""a very comfortable flight""",Boeing 777-200 / 747-400,Solo Leisure,Economy Class,Boston to Mumbai via London,December 2019,2,5,4,2,1,5
"""my husbands seat was broken""",No Aircraft,Couple Leisure,Business Class,Los Angeles to London,January 2020,1,1,1,No rating,1,1
"""My food was bad""",No Aircraft,Solo Leisure,Premium Economy,Gatwick to Cancun,January 2020,3,1,1,2,3,2
"""could not fault one aspect of the service""",A320,Solo Leisure,Business Class,London Gatwick to Glasgow,January 2020,4,5,4,No rating,5,4
"""All in all great service""",Boeing 787-8,Solo Leisure,Business Class,Rio De Janeiro to London Heathrow,December 2019,5,5,5,No rating,4,5
"""disappointed by the service""",A320,Business,Business Class,Gatwick to Tirana,January 2020,1,3,2,1,4,2
"""Crew very friendly""",A320,Couple Leisure,Business Class,Keflavik to London Heathrow,January 2020,3,5,5,No rating,4,5
"""my food was inedible""",No Aircraft,Couple Leisure,Economy Class,London Heathrow to Vancouver,January 2020,1,3,1,1,2,1
"""staff were incredibly rude and lazy""",No Aircraft,Couple Leisure,Economy Class,Tokyo to London Heathrow,January 2020,2,1,1,1,5,1
"""job's worth high handed attitude""",A380,Couple Leisure,Business Class,London to Hong Kong,December 2019,3,4,3,4,1,3
"""They have the worst customer service""",Boeing 747,Family Leisure,Business Class,Los Angeles to London Heathrow,January 2020,1,3,2,2,1,1
"""BA product is now tired""",A320,Solo Leisure,Economy Class,Istanbul to London,January 2020,2,2,No rating,No rating,1,1
"""no sandwiches left to purchase""",No Aircraft,Solo Leisure,Economy Class,London to Bucharest,December 2019,2,2,1,No rating,1,1
"""another very good flight""",Boeing 787-9,Solo Leisure,Business Class,London to Rio De Janeiro,December 2019,5,5,5,5,4,5
"""don't provide free food and drink""",A321neo,Family Leisure,Economy Class,London to Athens,December 2019,3,1,1,No rating,3,4
"""way below expected service""",No Aircraft,Solo Leisure,Economy Class,Copenhagen to London,December 2019,2,1,1,No rating,1,1
"""onboard charity collection is inappropriate""",A320,Solo Leisure,Economy Class,Budapest to Billund via London,December 2019,3,3,2,1,4,3
"""staff were so friendly""",No Aircraft,Solo Leisure,Economy Class,Cape Town to Brussels via London,December 2019,3,5,4,3,4,4
"""comfort and service superb""",Boeing 777-300ER,Solo Leisure,Economy Class,Sydney to Toulouse via Singapore / London,December 2019,5,5,5,2,4,5
"""good overall experience""",A321neo,Solo Leisure,Business Class,Sofia to London,October 2019,3,4,4,No rating,3,4
"""cabin crew were very friendly""",No Aircraft,Couple Leisure,Business Class,Edinburgh to Barbados via Gatwick,December 2019,5,5,5,5,5,5
"""delayed by 20 mins""",A320,Solo Leisure,Economy Class,London to Munich,December 2019,2,1,No rating,No rating,1,1
"""middle name was not on her ticket""",No Aircraft,Family Leisure,Economy Class,Hong Kong to London,December 2019,No rating,No rating,No rating,No rating,No rating,2
"""charged 4 times for one bag""",No Aircraft,Couple Leisure,Economy Class,London to Paris,August 2019,2,2,No rating,No rating,1,1
"""cabin manager did not greet me""",Boeing 777 - 200,Business,Economy Class,New York to London,December 2019,2,2,1,1,5,5
"""no proof I paid for them""",No Aircraft,Family Leisure,Premium Economy,Austin to London,October 2019,No rating,No rating,No rating,No rating,No rating,1
"""Awful airline""",No Aircraft,Couple Leisure,Economy Class,Frankfurt to London,December 2019,1,1,1,1,1,1
""" Flight is again delayed""",No Aircraft,Solo Leisure,Economy Class,London to Glasgow,December 2019,1,1,1,1,1,1
"""This flight was a delight""",Boeing 747-400,Business,Business Class,London to San Francisco,December 2019,3,5,4,4,5,4
"""we had to print out boarding passes""",A319,Couple Leisure,Economy Class,Heathrow to Belfast,December 2019,2,5,5,No rating,1,3
"""You get what you pay for""",A380,Solo Leisure,Business Class,London to Singapore,October 2019,4,5,5,1,5,5
"""Awful, rude airline""",No Aircraft,Business,Economy Class,Toulouse to London,November 2019,1,1,No rating,No rating,3,1
"""Seats the same as economy""",A319,Solo Leisure,Business Class,London Heathrow to Stockholm,November 2019,3,5,5,No rating,5,4
"""we had limited recline seats seats""",A380,Family Leisure,Economy Class,Johannesburg to London,November 2019,1,3,3,3,2,1
"""Overall a good flight""",A380,Couple Leisure,Business Class,Johannesburg to London,December 2019,3,3,3,3,3,4
"""crew are so friendly""",Boeing 747-400,Solo Leisure,First Class,London Heathrow to Miami,November 2019,4,5,5,5,5,5
"""excellent with service""",A319,Solo Leisure,Business Class,Stockholm to London Heathrow,November 2019,3,5,5,No rating,5,4
"""cabin crew where fantastic""",Boeing 777-300,Couple Leisure,Economy Class,London to Sydney via Singapore,November 2019,3,4,4,2,3,4
"""utter nightmares""",Boeing 747-400,Couple Leisure,Business Class,London to New York JFK,November 2019,1,4,3,1,1,1
"""the shortage of staff""",Boeing 777-200,Solo Leisure,Business Class,Gatwick to Bridgetown,December 2019,3,2,3,3,3,2
"""lacks personalized attention""",Boeing 777,Business,Business Class,Brussels to Bangkok via London,November 2019,4,2,2,3,4,3
"""missed my connecting flight""",Boeing 777-200,Business,Economy Class,San Francisco to Oslo via London,November 2019,1,2,2,No rating,1,1
"""said that I need to check my baggage""",No Aircraft,Couple Leisure,Economy Class,Los Angeles to Berlin via London,November 2019,3,1,No rating,No rating,1,1
"""inflight service was distinctly average""",A380,Couple Leisure,Business Class,London to Johannesburg,November 2019,3,3,3,3,3,3
"""delayed due to maintenance""",No Aircraft,Business,Premium Economy,London to Bangalore,November 2019,4,4,2,No rating,2,2
"""cabin crew were so kind""",No Aircraft,Solo Leisure,Economy Class,London to Sydney via Singapore,November 2019,5,5,3,No rating,5,5
"""Will never fly BA again""",No Aircraft,Solo Leisure,Economy Class,Lisbon to London,November 2019,1,No rating,No rating,No rating,1,1
"""very disappointed with the service they provide""",No Aircraft,Solo Leisure,Economy Class,London Heathrow to Glasgow,November 2019,4,3,No rating,No rating,4,2
"""Surprisingly good flight""",Boeing 787-9,Family Leisure,Economy Class,doha to londonDoha to London,November 2019,5,5,4,4,5,5
"""plane was old and cramped""",No Aircraft,Family Leisure,Economy Class,London to Buenos Aires,November 2019,2,3,2,1,3,2
"""Movie selection below average""",A380,Couple Leisure,Economy Class,San Francisco to London,November 2019,4,2,3,2,3,3
"""What a disappointment of an airline""",Boeing 777-300,Business,Business Class,Sydney to Singapore,November 2019,1,1,1,1,2,1
"""I begrudge flying with them""",Boeing 777,Family Leisure,Economy Class,London to Mauritius,November 2019,1,4,1,1,1,2
"""excellent premium host service""",No Aircraft,Business,Business Class,Los Angeles to Amsterdam via London,November 2019,5,5,5,5,5,5
